date,sales,trend,seasonal,dayofweek_effect,holiday_effect,noise,year,month,day,dayofweek,quarter,weekofyear,is_weekend
2020-01-01,659.9342830602246,0.0,0.0,0.0,150.0,9.934283060224654,2020,1,1,2,1,1,0
2020-01-02,538.1476237155614,0.1,40.81290973898496,0.0,0.0,-2.765286023423693,2020,1,2,3,1,1,0
2020-01-03,595.3423275333796,0.2,52.188556771365754,30.0,0.0,12.95377076201385,2020,1,3,4,1,1,0
2020-01-04,637.6167508063638,0.30000000000000004,26.856153678203285,50.0,30.0,30.460597128160508,2020,1,4,5,1,1,1
2020-01-05,590.9029882298873,0.4,-14.813944275645913,80.0,30.0,-4.683067494466719,2020,1,5,6,1,1,1
2020-01-06,425.66734512566984,0.5,-40.14991573534653,-30.0,0.0,-4.682739138983611,2020,1,6,0,1,2,0
2020-01-07,503.40285193148986,0.6000000000000001,-28.78140437865801,0.0,0.0,31.58425631014783,2020,1,7,1,1,2,0
2020-01-08,528.0694990729935,0.7000000000000001,12.020804489935259,0.0,0.0,15.348694583058176,2020,1,8,2,1,2,0
2020-01-09,544.229963616029,0.8,52.81945133472796,0.0,0.0,-9.389487718699042,2020,1,9,3,1,2,0
2020-01-10,605.9284785472386,0.9,64.1772776755193,30.0,0.0,10.851200871719293,2020,1,10,4,1,2,0
2020-01-11,610.5551475177764,1.0,38.82350137402568,50.0,30.0,-9.268353856249245,2020,1,11,5,1,2,1
2020-01-12,598.9138889570415,1.1,-2.8715159715533893,80.0,30.0,-9.314595071405137,2020,1,12,6,1,2,1
2020-01-13,447.8032998090914,1.2000000000000002,-28.235945622229252,-30.0,0.0,4.839245431320682,2020,1,13,0,1,3,0
2020-01-14,446.13497228385916,1.3,-16.899422822984892,0.0,0.0,-38.26560489315596,2020,1,14,1,1,3,0
2020-01-15,490.76891995033435,1.4000000000000001,23.867276600594987,0.0,0.0,-34.498356650260654,2020,1,15,2,1,3,0
2020-01-16,554.8811530502006,1.5,64.62690363502011,0.0,0.0,-11.245750584819454,2020,1,16,3,1,3,0
2020-01-17,587.2855889558133,1.6,75.94221136250174,30.0,0.0,-20.256622406688475,2020,1,17,4,1,3,0
2020-01-18,638.5273768958442,1.7000000000000002,50.54243024393875,50.0,30.0,6.284946651905478,2020,1,18,5,1,3,1
2020-01-19,602.4374539993269,1.8,8.797935509751028,80.0,30.0,-18.160481510424223,2020,1,19,6,1,3,1
2020-01-20,427.0344965334394,1.9000000000000001,-16.619429439854734,-30.0,0.0,-28.246074026705834,2020,1,20,0,1,4,0
2020-01-21,525.9736912144409,2.0,-5.339284163990186,0.0,0.0,29.31297537843108,2020,1,21,1,1,4,0
2020-01-22,532.9520862079064,2.1,35.367612217637124,0.0,0.0,-4.5155260097307135,2020,1,22,2,1,4,0
2020-01-23,579.6145925062272,2.2,76.06402841246867,0.0,0.0,1.3505640937584769,2020,1,23,3,1,4,0
2020-01-24,591.1177725091827,2.3000000000000003,87.3127362334519,30.0,0.0,-28.494963724269134,2020,1,24,4,1,4,0
